Mic 1,"Michael has his own standards of behaving. As a student, he would tell on fellow classmates whom he saw break school rules, like cheating on tests. In fact, he claimed to his friends that never once in his life has he thought about cheating.
Michael recently started making attempts to keep up to date with cultural knowledge. He read a book about Europe, sat in a music appreciation workshop, and eats in fashionable ethnic restaurants. When being with friends, he often talks at length about foreign cultures and art.
 
Michael spends a great amount of his time in search of what he likes to call excitement. He has already climbed Mt. McKinley, done some skydiving, shot the Colorado rapids in a kayak, driven in a demolition derby, and piloted a jet-powered boat without knowing much about boats. He has been injured, and even risked death, a number of times.
Other than business engagements, Michael’s contacts with people are surprisingly limited. He feels he doesn’t really need to rely on anyone.
Once Michael makes up his mind to do something, it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when it might be better if he did.
In order to improve his life, Michael tries to save money. He uses coupons, buys things on sale, and avoids donating money to charity or lending money to friends.
"
Mic 2,"Michael always wants to say exactly what's on his mind. When a friend once asked him to comment on his painting, he told him that more work on it would be necessary. 
Michael spends a great amount of his time in search of excitement and adventure. He has already climbed Mt. McKinley, done some skydiving, shot the Colorado rapids in a kayak, gone down-hill mountain-biking at night, and backcountry skied without any avalanche safety training. He has been injured, and even risked death, a number of times. 
Michael reads a lot. He tends to correct grammatical mistakes made in his presence. He’s a good speaker and can talk at length about all kinds of topics. 
Michael is a skilled conversationalist and makes acquaintances easily. He has so many acquaintances that his conversations can seem hurried and superficial. He is quick to make plans with people, without necessarily having the intention of following through with them. 
Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when it might be better if he did. 
"
Mic 3,"Michael is very close to his parents. He makes sure to have dinner with them every week, and calls them often.  He is consistent with this level of engagement, even when it is occasionally at the expense of seeing friends.
Michael is very detail-oriented and puts care and focus into every project that comes his way, often producing very high quality work.  Sometimes, though, this approach can overcomplicate simple tasks or make him reluctant to call things he works on “finished,” so it takes him longer to complete assignments.  Sometimes he can miss deadlines as a result. 
Michael knows a lot about history and literature from reading frequently, and is very articulate. He tends to talk at length about the things he’s learned about most recently, even if they aren’t directly relevant to the topic of conversation.
Michael likes to avoid spending money as a general rule.  He tends to be very careful about splitting bills correctly, often buys clothing from thrift shops, uses internet promotions, and will avoid loaning money to friends, unless it is a dire situation.
Once Michael makes up his mind to do something, it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind, even when sometimes things might have turned out better if he had. "
Mic 4,"Michael is very detail-oriented and puts care and focus into every project that comes his way, often producing quality work.  Sometimes, though, this approach can overcomplicate simple tasks or make him reluctant to call things he works on “finished,” so it takes him longer to complete assignments. Sometimes he can miss deadlines as a result.  
Michael knows a lot about history and literature from reading very frequently, and is very articulate. He tends to talk at length about the things he’s learned about most recently, even if they aren’t directly relevant to the topic of conversation, or if they only interest some of the people he speaks to.
Michael meets new people very easily because he is a good conversationalist. Sometimes he makes plans without intending on following through with them because he is so wrapped up in the social interaction at hand.  At larger functions, he makes a lot of new acquaintances by talking to people, but his conversations can also come off as hurried.
Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when sometimes things might have turned out a little better if he did. 
Michael is very close to his parents. He makes sure to have dinner with them every week, and calls them often.  He is consistent with this level of engagement, even when it is occasionally at the expense of seeing friends. "
Mic 5,"Michael is a natural conversationalist and makes acquaintances easily. Sometimes he makes plans without intending on following through with them because he is so wrapped up in the social interaction at hand.  At larger functions, he meets and talks to a lot of people, but his conversations can also come off as hurried.
Michael loves to be spontaneous.  He dances and drinks a lot at parties or clubs when he is out on the town.  On occasion, he gets kicked out of bars for being too rowdy, but he is known by his friends to bring a lot of energy to social events. 
Michael spends a great amount of his time in search of excitement and adventure. He has climbed Mt. McKinley, gone skydiving, shot the Colorado rapids in a kayak, gone down-hill mountain-biking at night, and backcountry skied. He has gotten several injuries and even risked death, but he continues to seek thrills excitedly.
Michael reads a lot. He tends to talk about the interesting things he’s read recently, even if they aren’t directly relevant to the conversation. He’s an articulate speaker and can talk at length about what’s on his mind.
Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind, even when it might be better if he did."
