1,nothing
2,"He had trouble loaning money to friends.  He was frugal, going for discounts and shopping at thrift stores.  He always talked about new knowledge he learned about, book read."
3,"Micheal has his own standards with respect to his behaviour.  He llikes to spend most of his time getting excited. Once he sets his mind to do something, it's done no matter how long it takes. He puts his mind to it and does it."
4,hello this is kal
5,"Michael gets kicked out of bars, is a great conversationalist, takes a ton of risks, and loves to be social.   Friends say he loves to talk and brings a lot of energy to a conversation.  He is so into social encounters that he can be aloof and not follow through.   He has done a lot of extreme challenges such as climbing massive mountains."
6,"He is a pretty smart guy that likes to read. He is very careful with his money, often buying things at a thrift store. He is a very likable guy. "
7,Michael enjoys hobbies like demolition derby and skydiving. Michael tells on other classmates when they are cheating. Michael does not donate to charity. Michael talks a lot about art.
8,Michael was a gentleman who loves tasking risks and adventures. He was good a math and other things.
9,"Michael wants to say exactly what's on his mind. When asked to comment on a friend's painting, he said it needed a lot more work. Michael seeks out excitement and adventure. He's done skydiving, kayaking, and back country skiing without proper avalanche safety training. He has been injured and risked death. He corrects people's grammar and is good at speaking. He is a good conversationalist and has a lot of acquaintances. Sometimes his conversations seem hurried. He is quick to make plans that he doesn't have any intention of following through on. Once he makes up his mind, he is firm on his decision. "
10,he was critical of other people.  He talked a lot about other topics.  Made plans but didnt follow through.  He made lots of friends.  
11,Michael likes to tel.on.his classmates
12,"Michael is into experimenting new things in live, extreme sports, traveling, new cultures. He doesn't get much time for new friends other than business encounters. He is trying to save money for his activities."
13,he was a nice person who saved his money and spent time with his parents
14,"Michael likes to read, and discusses the topics he's read about in depth, despite others not wanting to hear about them or them not being related to the conversations at hand. He is a risk taker, has rafted down rivers, climbed mountains, etc, and has gotten injured and risked death to take these risks, but he is a thrill-seeker and does not give them up. Once he makes a decision, his mind is made up, he will not change his mind and it is as good as done. He is a conversationalist, and an extrovert, but sometimes his conversations seem and feel rushed. "
15,Michael keeps in contact with his parents. He completes tasks to a point of over thinking them. He reads and talks in great depth about things that are not related to topic.
16,"Michael works very hard at his tasks until he can be sure they are near flawless, which causes him to sometimes miss deadlines and over-complicate simple tasks. /  / Michael is intelligent and well-versed in many topics that the average person finds boring; but that doesn't stop Michael from talking about them. /  / Michael is glib and makes his way easily through a crowd at parties, always eager to speak to the next person. This make some of his conversations feel hurried, however. /  / Michael is close with his parents and has a regular schedule with them. He will adhere to this schedule at the expense of new plans with others."
17,"Michael is a good conversationalist. A soon as Michael puts his mind to something consider it done. Michael makes friends easily due to his conversation abilities, Michael spends a lot of time with  his parents, he has dinner with them every week. Michael puts a lot of focus on attention to detail, this cause him to sometimes miss deadlines because he may put  a lot of focus on something that is not very important. Michael likes to read s lot. Michael likes history and likes to talk about history. "
18,sometimes he makes plans and does not see them through / he likes to read / he likes to do exciting things
19,"Michael reported people for cheating in class, attended a music appreciation workshop, eats at ethnic restaurants, and participates in risky activities such as skydiving. /  / He also clips coupons and doesn't donate to charity."
20,"Michael has a close relationship with Michael. He has dinner with them and keeps in touch with them often. He keeps an eye on his money and rarely spends. He buys his clothes at thrift stores, splits his bills very carefully and doesnt loan money to friends except in dire circumstances. "
21,Micheal pays a lot of attention to details. sometimes this has caused him to be late with projects but he always does a good job. Micheal makes friends easily and this helps with his networking for his career. He is close to his family. 
22,"Michael is social and he makes friends easily. He sometimes makes plans that he doesn't follow through with because he gets caught up in the social moment. He sometimes over drinks at parties and he liked to dance. His friends say he brings a lot of energy to a social gathering. He likes to seek out adventure. He has been injured in his adventures and even risked death. He climbed a mountain, did downhill biking at night and other extreme outdoor activities. He reads a lot and is good at remembering and explaining what he read. He is a good speaker and can talk at length about the things he has read."
23,Micheal does not always keep the plans he makes. Michael is good at a lot of things. Michaelmakes up his mind and sticks with it.
24,"I don't remember verbatim.  He is a risk taker, loving action.  He has climbed Mt. McKinley, done the rapids on the Colorado River, used a jet-powered boat.  He doesn't have a lot of friends.  He cuts coupons, finds sales, etc. in order to improve his life by saving money.  He tells on others in school, such as if he sees someone cheating but, he claims he has never cheated in his life.  That's all I remember."
25,"He has clilimbed mt mckinly. He has rode bikes down hill in the dark, skydived, risk his life more than one"
26,"Michael is very detail-oriented and puts care and focus into every project that comes his way, often producing quality work.  Sometimes, though, this approach can overcomplicate simple tasks or make him reluctant to call things he works on â€œfinished,â€ù so it takes him longer to complete assignments. Sometimes he can miss deadlines as a result.   /  / Michael knows a lot about history and literature from reading very frequently, and is very articulate. He tends to talk at length about the things heâ€™s learned about most recently, even if they arenâ€™t directly relevant to the topic of conversation, or if they only interest some of the people he speaks to. /  / Michael meets new people very easily because he is a good conversationalist. Sometimes he makes plans without intending on following through with them because he is so wrapped up in the social interaction at hand.  At larger functions, he makes a lot of new acquaintances by talking to people, but his conversations can also come off as hurried. /  / Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when sometimes things might have turned out a little better if he did.  /  / Michael is very close to his parents. He makes sure to have dinner with them every week, and calls them often.  He is consistent with this level of engagement, even when it is occasionally at the expense of seeing friends. "
27,He was an achiever but also a bore. He liked risky adventures but could not be counted on when you depended on him.
28,he knew a lot about history. he talked to people even when they weren't really interested in what he was saying. he met with his parents on a weekly basis. he was very close to his parents and met with them often even if it interfered with his friends.
29,"Seemed to me to be a little OCD, concentrates on details when he could let them go. Knows a lot about various topics and likes to engage in conversations, even when his contributions are not necessarily on target for the group. Has a good relationship with parents and keeps in contact with them on a very regular (OCD) basis. Not sure what job he has. Do not believe his job was included in the description. Very focused on getting things done to a level of perfection."
30,he was a person 
31,He makes sure to call/go out with his friends every week.  He sometimes missed his project deadline due to his details.  He is careful on his spending such as buying clothes at thrifty store.  
32,"He has never thought about cheating. He often reports others for cheating. He's very cultured and loves to talk about his interests with friends as well as often pursue them. He's done various actibities including skydiving, driving a rocket powered boat."
33,visits his parents.   talks about things that are sometimes not relevant to conversational topics (this is my ex-husband! lol).  is good at keeping his word.   
34,Michael has made dangerous decisions such as going downhill mountain bike riding at night.  He has mapricpated in several outdoor activities as well as being kicked out of bars before.
35,"MIchael is very close to his family as he will stop what he's doing to attend to them or just be there in general. He is somewhat of a perfectionist and this has caused him to be late on some assignments, as he constantly critiques them. "
36,"Michael is very adventuorus likes to ski, climb even if his life is at risk. he likes to read book. Very blunt about how he feels and expresses iut verbally. Told his friends needs more work on his painting."
37,"Michael corrects people's grammar in front of them. He is a good conversationalist and makes friends and plans often. He has climbed Mt McKinley and shot the rapids in Arizona, as well as mountain biked at night and skydived. He can talk about a wide variety of topics and does not hold back on his opinion. "
38,"I remember that Michael is a go-getter type. Once he makes a decision to do something or work towards something, it is difficult to get him to change his mind. He is a conversationalist and very articulate speaker, sometimes to the point where the conversations are completely directed by him. He reads often, and like to share ideas from what he reads in conversations. He is also very social, and his activities include dancing, drinking, social gatherings, and going to clubs. Sometimes his behavior can be quite rowdy."
39,"Michael is very close to his parents.  He calls and visits them frequently, even if at the expense of his friends.  He is very careful with his money, and splits his bills evenly.  He tends to think to hard about some problems, which sometimes results in him missing deadlines."
40,"Michael is detail oriented and very careful. He wants everything to be perfect and sometimes misses deadlines due to this. He's very well read, and knows history and literature, and he's very easy to talk to, which leads to him making lots of friends. He also calls his parents regularly. "
41,Michael exhibited the following: / Studied Art/History / Took risks / Didn't need anyone who was close to him
42,"Michael is a risk taker, that doesn't get along well with his peers, and seems to feel the need to do things that are extremely risky just for the thrill of it.  He is trying to save money, and he won't loan money to friends.  "
43,"He is honest, never cheats, and informs on rule breakers. He is adventurous, and safes regularly..."
44,"Michael is very family-oriented, visiting or calling his parents very frequently even at the expense of having friends. He is very cautious about spending money and frequently uses internet promotions, buys clothing from second hand stores. "
45,"Michael is consumed by his work which makes him perform well but sometimes makes him overthink things which slows him down. /  / Michael has good personal skills so it is easy for him to make friends. Sometimes he makes commitments on a whim though which he  may not be able to fulfill due to his being caught in the moment of conversations. /  / Michael is friendly and is good at meeting people at parties, but sometimes his conversations can seem hurried. /  / Michael has a close relationship with his parents. He eats dinner with them once a week and calls them regularly."
46,He rarely has time for discussions due to how many friends he has so his conversations usually seem superficial. He hasn't had avalanche training but has gone backwoods skiing or some such. He is adventureaome. He has many friends. He takes risks
47,says what he thinks does what he wants
48,"Boring, tries to eat dinner with parents weekly even if that cuts into time with friends.  Buys clothes from thrift store and does not like spending money.  Splits checks!  Sometimes misses deadlines because he lacks the confidence to know once a project is finished.  Finishes what he started even if it takes him waaaay to long."
49,"He is a go getter, sometimes gets kicked out of bars for being too rowdy but his friends say he is the life of the party.  If he says he is going to do something then its as good as done,"
50,"He doesn't cheat and reports those who do.  Cheating is a thought that has never crossed his mind.  He mostly does things alone.  He does dangerous things, including piloting a speed boat with little experience.  He feels that he doesn't need to rely on others."
51,Michael studied and read a lot.
52,"Michael is very detail oriented which causes him to be reluctant to call work finished and he sometimes misses deadlines. He likes history and literature and will often talk about them even if it is barely relevant, or only appeals to a few people in the group. He easily makes friends because he is a conversationalist but people tend to think his conversations feel rushed. He often makes plans he doesn't intend to follow through on because he is caught up in the social aspect of the moment. He is dedicated to his parents and has dinner with once a week, sometimes at the exclusion of his friends."
53,He is a detail oriented perfectionist and sometimes this gets in the way of getting things done because he never thinks it's perfect enough. He talks easily well with new people and often goes off on tangents when he talks about history.
54,Michael has recently become interested in foreign culture and has been going to ethnic restaurants and doing some other things and now talks a lot about these with friends. / He doesn't have many friends and only really connects with business connections because he doesn't feel like he needs more. / He likes adventure sports and adrenaline rushes and has had some dangerous encounters because of it. / He needs to save money so doesn't donate to charity or loan to friends very often.
55,"I remember reading that he rarely lends money to friends unless it's dire, and once he's made up his mind to do something, it's as good as done,  no matter how long it might take or difficult the going might be. Also, he reads a lot and is very articulate.       "
56,He is very talkative. He is high energy. He is wrapped up in his social life. Sometimes he makes plans but doesn't follow through. He studies hard. He reads a lot and talks about what he reads a lot. He is very goal oriented and stubborn. 
57,"likes to talk, agrees to things but doesn't followup, likes to drink and sometimes gets kicked out of bars for being disorderly, likes to do dangerous things. "
58,"He always says what is on his mind.  He often corrects grammar when he is speaking to someone.  He reads a lot.  Once he makes up his mind, he works until he reaches his goal."
59,he eats dinner with his parents once a week. he makes friends wherever he goes. and he makes plans to do things just for the social interaction of it. he likes to talk about things he has recently learned. he likes to read a lot.
60,"Michael is very close to his parents. He has dinner with them every week and calls them often. Michael is very detail-oriented and focuses on every project producing high results. He will sometimes overcomplicate assignments making them harder causing him to miss deadlines. He avoids spending money when possible, often buying money from thrift shops. "
61,"Michael is a student that will tell on classmates who he saw broke school rules like cheating on an exam. Recently started to keep up to date with cultural knowledge such as learning Europe, music appreciation and eating out at ethnic restaurants. He has limited friends and do not rely on anyone. He saves money in order to improve his life via coupons, buy things on sale sales, and avoid donating/lending money to friends."
62,He eats dinner at his parents house once a week. He shops at thrift stores and only lets his friends borrow money if he feels that they really need it.
63,"Michael says he never lied and tells on friends who lie/cheat.  Once he makes his mind up to do something, he will get it done - no matter how long it takes.  He is interested in foreign culture and art.  He likes to patronize ethnic restaurants.  He currently likes to save money and for this reason he won't donate to charity or lend money to friends at this time."
64,"Michael likes to speak his mind whenever possible. Once when his friend asked hi  for his opinion on his painting, he told him that it needed more work. /  / Michael likes to live a life of adventure and has done such things as go backcountry skiing without any avalanche training, climbed Mount Rainier, and other activities like them. He's even risked deaths several times, all for the thrill. /  / Michael is friendly and makes a lot of acquaintances. He is quick to make plans with them, but is known not to follow through. However, when he makes plans of his own, he doesn't stop until he accomplishes what he had in mind."
65,"He is an outgoing person, He loves party and one time he got kick out of a bar for being too rowdy. He is the energy of a party and everybody likes him. He loves books and loves to discuss about the book he read to other people even if it is not in their conversation. He loves dangerous and challenging things like kayaking and sky diving. He even loves things that maybe he is not supposed to do"
66,"Michael makes sure he has dinner with hisparents weekly even if he has to neglect his friend. Michael can meet peoplevery easy although he seems hurried when inconversation. Michael accomplishes his work efficiently and at times does outstanding work. Problem is, Michael never feels like his work is finished."
67,"Mike is likeable enough. He gets along with most of his friends. He likes to go out in bars, sometimes getting kicked out for being too rowdy, but most people know he doesn't have bad intentions. He often schedules things he has no intention of completing, like hanging out with others. If he sets himself to a task, he always completes it."
68,"He does not like to spend money. He often buys clothes at thrift shops. He is very good at dividing bills, He eats with his parents at least once a week. He has kept this routine up a long while. He is well read. Often talks at length about topics he has read recently. "
69,"Michael is a hard worker and likes to do things well down to the most minute details. If he commits to doing a job, it's pretty much sure that he will do it, no matter how difficult the endeavor will prove to be. He always gets the job done event though it might take much longer than expected because he has a hard time considering his work ""finished"" due to his perfectionism. /  / He knows a lot and reads and learns avidly - he loves talking about things he just learned and eagerly communicates with people on that level even when people are not really interested. He has no problem meeting new people at social events because he loves talking, but he won't necessarily pursue the social commitments he makes when meeting new people.  /  / He is very attached to his parents and alwayss makes sure to see them once a week, even if it means spending less time with his friends."
70,Micheal is a natural conversationalist and makes friends easily.  He makes plans that he intends not to keep.  He loves to be spontaneous.  He has climbed Mt. McKinley.  He has gone skydiving. He reads a lot.  
71,"Michael always wants to say exactly what's on his mind. When a friend once asked him to comment on his painting, he told him that more work on it would be necessary. /  / Michael spends a great amount of his time in search of excitement and adventure. He has already climbed Mt. McKinley, done some skydiving, shot the Colorado rapids in a kayak, gone down-hill mountain-biking at night, and backcountry skied-without any avalanche safety training. He has been injured, and even risked death, a number of times. /  / Michael reads a lot. He tends to correct grammatical mistakes made in his presence. He's a good speaker and can talk at length about all kinds of topics. /  / Michael is a skilled conversationalist and makes acquaintances easliy. He has so many acquaintances that his conversations can seem hurried and superficial. He is quick to make plans with people, without necessarily having the intentiion of following through with them. /  / Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be. Only rarely does he change his mind even when it might be better if he did. /  /   / "
72,Michael enjoys history and is a great conversationalist. His attention to detail sometimes gets him into trouble because it delays him from finishing his projects. He often unwittingly makes plans because he's such a great conversationalist. 
73,"Michael likes to take risks, sky diving, demolition derby, riding the Colorado rapids.  In high school he was a rat, never hesitating to narc on other people for breaking school rules.  Once he makes up his mind he rarely changes it, and he has very few friends, he feels that he doesn't need them because he does better on his own. "
74,He is detail oriented.  He carefully completes tasks.  He had dinner with his parents.
75,Michael has never cheated but likes to tell on people who cheat.  Michael likes to do activities that are dangerous.  He stays mostly to himself.
76,"He says he is going to do something and he does it. He rarely has time to send with people because he tries to fit everyone in. He has climb mountain, sky diving."
77,"Michael is able to converse very well with others during social interaction and is able to make friends easily. His conversations, however tend to come off short and quick. Sometimes, he would get kicked out of bars because he is too wild. He is spontaneous and adventurous and enjoys extreme hobbies such as skydiving, climbing Mt. Mckinley and mountain biking. Michael likes to read and likes to set goals for himself. "
78,Michael voiced his opinion to a friend about his artwork and told him it needed more work.  He is a risk taker and has climbed Mount McKinley and gone mountain biking at night.  He has been injured several times.  Michael talks a lot and makes friends easily.  However it sometimes feels that he is rushed and not really paying attention to his friends.  He makes plans with friends and may or may not follow through with his plans.  He usually works on a project until completion no matter how long it takes.
79,"good listener, too focused on specifics tasks, sometimes distracted, pays attention to people"
80,He told a friend his painting still needed work. He like to take adventure trips and was big risk taker on trips. He had a lot of acquaintances. He corrected people's grammar. 
81,Michael doesn't depend on others. He has risked his life several times. He has done skydiving and drove a jet powered boat.
82,"Michael is very careful with money"" he often shops at thrift shops.  / "
83,He liked to spend time with family even if it sometimes interferes with his friends.
84,Michael doesn't like cheaters. Reads extensively and talks extensively. He doesn't really need to feel connected to people. He gets something in his mind and has to accomplish the goal no matter what even if it is risky. He is frugal with his money.
85,"He says whatever he thinks, he loves adventure like climbing mountains, he has a lot of acquaintances and is a skilled conversationalist, he reads a lot, corrects people's grammar and can converse on many different topics, his conversation sometimes comes across as superficial, when he puts his mind to something, it's as good as done."
86,"Michael has biked down a mountain at night, shot the colorado river in a kayak, very talkative and mingles and makes acquaintances easily "
87,Michael likes a drink.  He often gets kicked out of bars for being too rowdy.  He likes daring things like mountain biking at night and skiing.  People find him very likable.
88,"He tells people what he thinks, he reads a lot and corrects grammatical mistakes, he's a go-getter who will finish a project no matter what."
89,"Michael is very detail-oriented and put a lot of care into his work - he often does a very good job. However, sometimes his perfectionism can cause him to take longer on assignments and will miss deadlines. He knows a lot about history and literature and likes to talk about these things, even if no one else is interested in the topic. Michael likes to meet new people and makes a lot of acquaintances but they sometimes feel like he rushes conversation. He is very persistent. Michael is very close to his parents and has dinner with them every week, even if it means missing out on seeing his friends."
90,Michael was a stingy guy. He shopped at thrift stores for clothes. He wouldn't lend out money unless it was life or death. He was a lot like me.
91,"Michael is a thrill seeker. Canoeing, skiing,mtn climbing. He gets kicked out of bars from time to time too rowdy. Drank too much. Generally a lot of fun. Mingles easily with group, high energy. Sometimes conversations seem rushed. Makes plans because he gets caught up in the conversation, the moment, but will not follow through."
92,Michael was a risk taker was kicked out of bars occasionally for being too rowdy. He brings energy too gatherings and often rushes conversations. Michael has kayaked in Colorado and hiked Mt McKinnley. Michael often doesn't make the safest choices. 
93,"He eats dinner with his family each week, he rarely changes his mind when it is made up, and he gets things finished when he starts them."
94,"Michael is a dutiful son who visits his parents at least once a week, even to the detriment of plans with friends. He takes too much time on some projects due to working too carefully. He does not lend money unless the need is dire. He dislikes spending money and buys clothing at thrift stores."
95,I can't really remember other than his friend was critical of his work and that Michael came across as likeable. 
96,"Michael was different from his fellow classmates. He would often tell when friend cheated. He had never thought about cheating in his life. Recently, Michael was trying to become more cultured. He read a book on England. He was trying new sports. He had been injured. He was looking for excitement. He didn't have many social interactions outside work."
97,"doesn't lend money, uses internet promotions, get stuff done"
98,"Michael is very detail-oriented and puts care and focus into every project that comes his way, often producing quality work. Michael knows a lot about history and literature from reading very frequently, and is very articulate. Michael meets new people very easily because he is a good conversationalist. Once Michael makes up his mind to do something it is as good as done no matter how long it might take or how difficult the going might be.  / Only rarely does he change his mind even when sometimes things might have turned out a little better if he did. /  / "
99,Michael often makes plans with people without following through.  He is well spoken and is a risk taker. 
100,"Michael is full of energyattends parties a lot.  He looks for excitement and has done quite a few exciting things.  Like skying at night.  He climbed Mt. McKenley,  and rode the rapids in Colorada. At parties he talks to a lot of the people but his conversation seem to be hurried. "
101,Michael hates cheating and will call them out without hesitation. He says he would never cheat himself. He likes art and learning about it. Michael likes to do risky adventurous things. He has been injured doing it. He likes to save money anyway he can. He doesn't like to rely on others.
102,"Michael saves money and lives for fun: he goes kayaking down rivers (or white-water rafting, one of those), likes trendy ethnic restaurants, goes to music appreciation seminars and just wants to broaden his horizons. /  / He also foolishly bought a book about Europe, meaning he did not pay attention in school or doesn't know how to use the Internet."
103,Michael is a very outgoing person. He often makes plans with others that he has no intention of following through with. Michael does a lot of dangerous activities like sky diving and skiing through the back country. He reads a lot. He often talks about the latest books he has read even though it has nothing to do with the conversation. He is very energetic and people like to have him at parties. He sets high goals for himself and stops at nothing to achieve them - even though sometimes he'd be better off setting different goals.
