V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Intro1,Intro2,Intro3,Intro4,Q92,mic1,mic2,mic3,mic4,mic5,like7,likecont_1,friends,Q69,Q101,attn1,attn2,rmq_1,rmq_2,rmq_3,rmq_4,rmq_5,rmq_6,rmq_7,rmq_8,rmq_9,rmq_10,rmq_11,rmq_12,rmq_13,rmq_14,rmq_15,rmq_16,rmq_17,rmq_18,rmq_19,rmq_20,rmq_21,rmq_22,rmq_23,rmq_24,rmq_25,rmq_26,rmq_27,rmq_28,rmq_29,rmq_30,attnchk1,rfq_1,rfq_2,rfq_3,rfq_4,rfq_5,rfq_6,rfq_7,rfq_8,rfq_9,rfq_10,rfq_11,age,gender,race_1,sex,sex_TEXT,job,edu_1,income_1,recall,Q34,honest1_12,cult1_12,advent1_12,indep1_12,persis1_12,thrifty1_12,Q159,honest2_12,advent2_12,intel2_12,greg2_12,persis2_12,Q166,loyal3_12,metic3_12,intel3_12,thrifty3_12,persis3_12,Q173,metic4_12,intel4_12,greg4_12,stub4_12,loyal4_12,Q180,greg5_12,fun5_12,advent5_12,intel5_12,persis5_12,prevmic,comments,Q96,micpass,LocationLatitude,LocationLongitude,LocationAccuracy,const_base,recall_sum,recall_avg
R_27jKdqSsGsZmcdQ,Default Response Set,Anonymous,,,172.89.67.229,0,2/21/16 17:07,2/21/16 17:10,1,1,1,1,1,1,,,,,1,3,2,4,1,1,10,5,3,4,5,4,4,3,4,4,5,3,4,4,5,4,3,5,3,5,5,2,4,4,5,3,4,3,2,5,3,4,4,3,4,2,3,3,4,4,3,2,3,4,23,1,2,1,,student,6,4,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,3,3,2,,1,mic5,34.22979736,-118.5995026,-1,2.449836066,2.21,2.21
R_1KeQUfsrJWFwuzj,Default Response Set,Anonymous,,,98.176.249.110,0,2/21/16 17:05,2/21/16 17:10,1,1,1,1,1,1,,,1,,,5,5,6,1,1,survey,survey,4,4,5,5,6,3,3,5,1,4,4,1,1,6,3,6,3,3,4,4,6,3,3,3,6,1,4,6,6,4,2,3,3,5,3,5,3,5,3,1,3,1,34,1,4,1,,Repair and Maintenance,5,4,"He had trouble loaning money to friends.  He was frugal, going for discounts and shopping at thrift stores.  He always talked about new knowledge he learned about, book read.",,,,,,,,,,,,,,1,5,6,6,6,6,,,,,,,,,,,,,2,,1,mic3,32.75549316,-117.0700989,-1,2.395989011,60.17,2.735
R_2RX3NNwbBPzkSMx,Default Response Set,Anonymous,,,149.152.191.2,0,2/21/16 17:07,2/21/16 17:12,1,1,1,1,1,1,,1,,,,4,2,5,1,1,survey,survey,2,2,3,3,4,4,5,4,3,3,2,2,2,3,3,4,4,5,5,4,3,3,2,2,3,4,4,4,4,3,5,2,2,3,3,4,3,3,2,3,3,4,26,1,3,1,,Web developer,6,3,"Micheal has his own standards with respect to his behaviour.  He llikes to spend most of his time getting excited. Once he sets his mind to do something, it's done no matter how long it takes. He puts his mind to it and does it.",,,,,,,,1,2,2,2,2,3,,,,,,,,,,,,,,,,,,,2,Micheal has my attitude. I was encourages by some of his traits to keep on kicking on,1,mic2,41.33039856,-72.97059631,-1,2.43,89.04,2.544
R_2EFcRFfQ7uNJYhd,Default Response Set,Anonymous,,,72.185.194.128,0,2/21/16 17:07,2/21/16 17:12,1,1,1,1,1,1,,,,1,,4,2,3,1,1,survey,survey,4,4,5,5,6,5,5,3,4,4,5,5,4,4,4,5,5,4,4,4,4,5,5,6,5,5,5,4,5,5,2,3,4,4,5,4,4,3,3,3,4,4,29,1,4,1,,sales,5,3,na,,,,,,,,,,,,,,,,,,,,1,4,4,4,2,4,,,,,,,2,ty,1,mic4,27.78970337,-82.728302,-1,2.431037736,6.53,2.176666667
R_2cjauTxYp3DXz5d,Default Response Set,Anonymous,,,24.238.59.111,0,2/21/16 17:06,2/21/16 17:13,1,1,1,1,1,1,,,,,1,5,4,4,1,1,survey,survey,5,3,3,3,4,3,3,5,3,3,5,1,1,1,4,4,3,3,4,5,3,3,2,4,3,3,5,4,4,4,2,3,3,3,3,4,3,3,4,2,4,2,37,1,4,1,,IT,8,4,"Michael gets kicked out of bars, is a great conversationalist, takes a ton of risks, and loves to be social.   Friends say he loves to talk and brings a lot of energy to a conversation.  He is so into social encounters that he can be aloof and not follow through.   He has done a lot of extreme challenges such as climbing massive mountains.",,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,2,5,6,2,,1,mic5,41.248703,-74.60970306,-1,2.449836066,113.04,2.355
R_cUajB0eqeOdkwP7,Default Response Set,Anonymous,,,24.59.119.125,0,2/21/16 17:08,2/21/16 17:13,1,1,1,1,1,1,,,1,,,5,5,5,1,1,survey,survey,1,1,1,1,4,1,4,3,5,2,5,1,5,5,6,1,2,2,5,5,1,5,1,6,4,1,1,4,2,2,2,4,3,1,3,4,4,3,4,5,1,3,20,2,4,1,,Unemployed,6,3,"He is a pretty smart guy that likes to read. He is very careful with his money, often buying things at a thrift store. He is a very likable guy. ",,,,,,,,,,,,,,1,1,5,6,5,5,,,,,,,,,,,,,2,,1,mic3,43.08920288,-76.02500153,-1,2.395989011,64.32,2.473846154
R_3ktx4wvq1rRuE0J,Default Response Set,Anonymous,,,98.252.144.84,0,2/21/16 17:06,2/21/16 17:13,1,1,1,1,1,1,1,,,,,1,1,2,1,1,survey,survey,3,3,2,6,4,5,5,5,6,2,3,2,5,2,5,4,2,2,5,4,2,4,2,2,4,1,2,5,4,4,2,4,2,4,3,5,3,4,2,2,3,4,22,1,3,1,,Emergency Department Scribe,8,3,Michael enjoys hobbies like demolition derby and skydiving. Michael tells on other classmates when they are cheating. Michael does not donate to charity. Michael talks a lot about art.,1,1,1,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,mic1,33.73629761,-83.99199677,-1,2.532282609,47.61,2.505789474
R_1jP1p9nqlUN7awd,Default Response Set,Anonymous,,,24.171.21.129,0,2/21/16 17:10,2/21/16 17:15,1,1,1,1,1,1,,1,,,,5,4,6,1,1,5,3,5,4,6,5,5,6,5,5,4,5,6,5,4,3,5,5,5,4,5,4,5,4,3,1,4,3,5,4,4,5,2,4,5,3,4,3,3,5,3,3,4,3,27,1,4,1,,construction,8,3,Michael was a gentleman who loves tasking risks and adventures. He was good a math and other things.,,,,,,,,1,4,6,4,1,4,,,,,,,,,,,,,,,,,,,2,,1,mic2,38.51049805,-90.6364975,-1,2.43,25.41,2.1175
R_2TGaOVMjduJ6fx2,Default Response Set,Anonymous,,,216.106.40.76,0,2/21/16 17:06,2/21/16 17:15,1,1,1,1,1,1,,1,,,,2,1,3,1,1,survey,survey,5,1,2,5,4,5,3,2,3,6,4,1,2,2,3,4,4,3,3,6,4,3,4,3,3,1,1,4,2,4,2,2,1,4,1,5,1,5,1,2,3,2,31,2,4,1,,Homemaker,8,4,"Michael wants to say exactly what's on his mind. When asked to comment on a friend's painting, he said it needed a lot more work. Michael seeks out excitement and adventure. He's done skydiving, kayaking, and back country skiing without proper avalanche safety training. He has been injured and risked death. He corrects people's grammar and is good at speaking. He is a good conversationalist and has a lot of acquaintances. Sometimes his conversations seem hurried. He is quick to make plans that he doesn't have any intention of following through on. Once he makes up his mind, he is firm on his decision. ",,,,,,,,1,1,0,1,1,4,,,,,,,,,,,,,,,,,,,2,"I can see from the recall exercise that the things that stood out the most to me were the things that reinforced my negative impression. If I hadn't been instructed to try and remember it verbatim, I think the way I worded it would have been less neutral. ",1,mic2,38.88169861,-92.40200043,-1,2.43,214.13,2.643580247
R_1GTSmUaWova1SnB,Default Response Set,Anonymous,,,74.179.122.51,0,2/21/16 17:09,2/21/16 17:16,1,1,1,1,1,1,,1,,,,2,1,1,1,1,survey,survey,6,3,4,5,5,2,4,4,2,5,2,1,6,5,1,3,4,3,1,1,3,1,3,4,3,2,6,4,5,2,2,2,1,2,5,5,1,5,1,2,3,1,26,2,4,1,,Freelance programmer,8,4,he was critical of other people.  He talked a lot about other topics.  Made plans but didnt follow through.  He made lots of friends.  ,,,,,,,,1,1,0,2,1,5,,,,,,,,,,,,,,,,,,,2,,1,mic2,29.57310486,-82.4076004,-1,2.43,51.33,2.701578947
